,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G,Year
332,Sacramento Kings,25,57,33,49,-3.17,0.17,-3.0,106.5,109.6,-3.1,100.8,0.337,0.108,0.53,0.481,14.1,30.7,0.257,ARCO Arena (II),709997.0,17749.925,1993
333,Milwaukee Bucks,28,54,31,51,-3.73,0.47,-3.26,106.2,110.1,-3.9,96.1,0.301,0.135,0.535,0.495,14.8,30.5,0.223,Bradley Center,660939.0,16523.475,1993
334,Philadelphia 76ers,26,56,26,56,-5.77,0.51,-5.25,104.6,110.4,-5.8,98.5,0.319,0.133,0.53,0.479,14.4,28.1,0.251,The Spectrum,515284.0,12882.1,1993
335,Washington Bullets,22,60,23,59,-7.04,0.55,-6.49,103.6,110.8,-7.2,97.7,0.298,0.082,0.523,0.48,14.2,28.8,0.223,Capital Centre,558966.0,13974.15,1993
336,Minnesota Timberwolves,19,63,21,61,-7.78,0.16,-7.62,103.6,111.8,-8.2,93.8,0.344,0.087,0.535,0.479,15.9,28.7,0.275,Target Center,754593.0,18864.825,1993
337,Dallas Mavericks,11,71,10,72,-15.2,0.52,-14.68,99.5,114.7,-15.2,99.5,0.299,0.115,0.495,0.455,15.1,31.1,0.21,Reunion Arena,554724.0,13868.1,1993
338,Seattle SuperSonics,63,19,64,18,9.09,-0.41,8.68,111.1,101.5,9.6,95.1,0.344,0.105,0.547,0.501,13.7,34.4,0.256,Seattle Center Coliseum,601369.0,15034.225,1994
339,New York Knicks,57,25,60,22,6.99,-0.5,6.48,105.7,98.2,7.5,92.8,0.311,0.135,0.527,0.483,15.1,34.4,0.232,Madison Square Garden (IV),810193.0,19763.0,1994
340,San Antonio Spurs,55,27,56,26,5.26,-0.21,5.05,110.4,104.6,5.8,90.1,0.322,0.107,0.537,0.494,13.6,35.6,0.239,Alamodome,904190.0,18726.0,1994
341,Atlanta Hawks,57,25,56,26,5.27,-0.33,4.94,107.2,101.7,5.5,94.2,0.294,0.118,0.523,0.48,13.6,34.6,0.221,Omni Coliseum,537547.0,13438.675,1994
342,Phoenix Suns,56,26,54,28,4.84,-0.17,4.68,111.7,106.8,4.9,96.7,0.325,0.147,0.548,0.509,13.9,35.2,0.236,America West Arena,779952.0,19498.8,1994
343,Utah Jazz,53,29,53,29,4.22,-0.12,4.1,108.6,104.1,4.5,93.1,0.354,0.083,0.537,0.49,13.3,31.3,0.262,Delta Center,814502.0,20362.55,1994
344,Houston Rockets,58,24,53,29,4.32,-0.12,4.19,105.9,101.4,4.5,95.0,0.294,0.191,0.545,0.507,15.0,27.6,0.218,The Summit,615227.0,16611.0,1994
345,Cleveland Cavaliers,47,35,52,30,4.02,-0.39,3.64,109.4,105.1,4.3,91.7,0.335,0.121,0.537,0.487,12.8,31.8,0.258,Coliseum at Richfield,753686.0,18842.15,1994
346,Orlando Magic,50,32,52,30,3.89,-0.21,3.68,110.8,106.7,4.1,95.2,0.341,0.165,0.547,0.514,14.4,33.8,0.231,Orlando Arena,626931.0,15673.275,1994
347,Indiana Pacers,47,35,51,31,3.45,-0.19,3.26,107.8,104.2,3.6,93.3,0.366,0.077,0.547,0.5,16.0,34.4,0.27,Market Square Arena,531812.0,13295.3,1994
348,Chicago Bulls,55,27,50,32,3.09,-0.22,2.87,106.1,102.7,3.4,91.9,0.273,0.097,0.526,0.493,14.6,33.8,0.192,Chicago Stadium,760816.0,19020.4,1994
349,Miami Heat,42,40,48,34,2.67,-0.27,2.4,109.5,106.7,2.8,93.8,0.322,0.145,0.538,0.488,14.3,35.3,0.253,Miami Arena,617242.0,15431.05,1994
350,Portland Trail Blazers,47,35,48,34,2.63,-0.04,2.6,108.1,105.5,2.6,98.8,0.323,0.104,0.518,0.472,12.5,34.4,0.24,Memorial Coliseum,528408.0,12888.0,1994
351,New Jersey Nets,45,37,47,35,2.2,-0.08,2.11,107.2,104.9,2.3,95.5,0.351,0.096,0.515,0.461,12.7,34.0,0.267,Brendan Byrne Arena,658304.0,20049.0,1994
352,Golden State Warriors,50,32,46,36,1.74,0.01,1.76,108.3,106.5,1.8,99.1,0.322,0.12,0.542,0.512,14.9,32.9,0.214,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1994
353,Denver Nuggets,42,40,45,37,1.49,0.05,1.54,103.9,102.3,1.6,96.1,0.357,0.088,0.524,0.478,15.3,32.2,0.256,McNichols Sports Arena,673738.0,17171.0,1994
354,Charlotte Hornets,41,41,40,42,-0.22,-0.01,-0.23,108.4,108.6,-0.2,97.5,0.301,0.129,0.543,0.5,13.6,29.2,0.23,Charlotte Coliseum,971609.0,24290.225,1994
355,Boston Celtics,32,50,29,53,-4.28,0.01,-4.28,104.2,108.7,-4.5,95.6,0.284,0.068,0.521,0.482,13.5,29.3,0.207,Boston Garden,604867.0,14890.0,1994
356,Los Angeles Lakers,33,49,29,53,-4.29,0.36,-3.93,104.8,109.3,-4.5,95.5,0.269,0.11,0.503,0.466,12.8,33.2,0.193,Great Western Forum,545915.0,14147.0,1994
357,Los Angeles Clippers,27,55,26,56,-5.72,0.44,-5.28,102.9,108.6,-5.7,99.6,0.297,0.116,0.521,0.484,15.4,30.4,0.211,Los Angeles Memorial Sports Arena,471034.0,11775.85,1994
358,Sacramento Kings,28,54,26,56,-5.77,0.44,-5.32,103.3,109.2,-5.9,97.5,0.326,0.104,0.516,0.471,14.2,30.4,0.239,ARCO Arena (II),710497.0,17762.425,1994
359,Milwaukee Bucks,20,62,24,58,-6.48,0.24,-6.24,102.5,109.3,-6.8,94.5,0.32,0.15,0.512,0.471,14.7,31.1,0.225,Bradley Center,634047.0,15851.175,1994
360,Minnesota Timberwolves,20,62,23,59,-6.93,0.38,-6.55,101.9,109.2,-7.3,94.7,0.352,0.085,0.525,0.471,16.4,30.1,0.272,Target Center,733419.0,18335.475,1994
361,Washington Bullets,24,58,22,60,-7.38,0.25,-7.13,104.5,112.2,-7.7,95.9,0.317,0.109,0.529,0.484,15.3,31.2,0.237,US Airways Arena,619756.0,15493.9,1994
362,Philadelphia 76ers,25,57,21,61,-7.62,0.25,-7.37,101.7,109.7,-8.0,95.7,0.31,0.138,0.518,0.478,15.0,28.0,0.221,The Spectrum,491769.0,12294.225,1994
363,Detroit Pistons,20,62,21,61,-7.78,0.33,-7.46,102.7,110.9,-8.2,94.2,0.244,0.148,0.511,0.477,13.7,28.4,0.179,The Palace of Auburn Hills,806641.0,18410.0,1994
364,Dallas Mavericks,13,69,19,63,-8.7,0.5,-8.19,100.4,109.6,-9.2,94.5,0.275,0.109,0.492,0.449,15.0,33.7,0.205,Reunion Arena,526414.0,13160.35,1994
365,Utah Jazz,60,22,61,21,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.587,0.535,14.8,29.1,0.306,Delta Center,811159.0,20278.975,1995
366,Seattle SuperSonics,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.194,0.575,0.527,14.1,32.6,0.288,Tacoma Dome,633604.0,17368.0,1995
367,Orlando Magic,57,25,59,23,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.357,0.205,0.569,0.539,14.0,34.0,0.239,Orlando Arena,656410.0,16410.25,1995
368,San Antonio Spurs,62,20,57,25,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.372,0.173,0.562,0.516,13.8,30.9,0.275,Alamodome,920413.0,33072.0,1995
369,Chicago Bulls,47,35,54,28,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.308,0.177,0.546,0.509,14.5,32.9,0.224,United Center,926218.0,23155.45,1995
370,Phoenix Suns,59,23,51,31,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.338,0.227,0.567,0.524,12.7,29.7,0.255,America West Arena,779943.0,19498.575,1995
371,Portland Trail Blazers,44,38,52,30,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.313,0.177,0.521,0.483,13.0,37.1,0.218,Memorial Coliseum,529759.0,12888.0,1995
372,Indiana Pacers,52,30,52,30,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.383,0.158,0.557,0.507,15.5,32.8,0.287,Market Square Arena,654428.0,14601.0,1995
373,Charlotte Hornets,50,32,50,32,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,0.517,14.3,26.0,0.247,Charlotte Coliseum,971618.0,23698.0,1995
374,New York Knicks,55,27,50,32,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,0.508,15.1,28.6,0.243,Madison Square Garden (IV),810283.0,19763.0,1995
375,Houston Rockets,47,35,47,35,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,0.529,15.0,26.9,0.232,The Summit,653389.0,16503.0,1995
376,Atlanta Hawks,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,0.487,13.9,31.6,0.211,Omni Coliseum,504807.0,10291.0,1995
377,Denver Nuggets,41,41,43,39,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.357,0.18,0.556,0.511,15.6,32.0,0.263,McNichols Sports Arena,704011.0,17600.275,1995
378,Cleveland Cavaliers,43,39,43,39,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,0.472,14.2,31.8,0.241,Gund Arena,833850.0,20562.0,1995
379,Los Angeles Lakers,48,34,40,42,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,0.5,13.4,31.3,0.215,Great Western Forum,591125.0,16760.0,1995
380,Sacramento Kings,39,43,38,44,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.359,0.16,0.538,0.496,16.2,32.1,0.255,ARCO Arena (II),709997.0,17749.925,1995
381,Miami Heat,32,50,36,46,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,0.317,0.175,0.54,0.499,14.4,31.7,0.233,Miami Arena,598761.0,14259.0,1995
382,Boston Celtics,35,47,36,46,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.144,0.537,0.491,14.3,33.1,0.249,Boston Garden,606070.0,14890.0,1995
383,Dallas Mavericks,36,46,33,49,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,Reunion Arena,678433.0,17502.0,1995
384,New Jersey Nets,30,52,32,50,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,0.342,0.192,0.519,0.467,14.4,33.3,0.26,Brendan Byrne Arena,684102.0,15409.0,1995
385,Milwaukee Bucks,34,48,29,53,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.343,0.205,0.537,0.496,15.5,31.3,0.244,Bradley Center,670720.0,16768.0,1995
386,Golden State Warriors,26,56,27,55,-5.41,0.51,-4.9,106.7,112.2,-5.5,97.9,0.348,0.233,0.547,0.508,15.9,30.3,0.245,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1995
387,Philadelphia 76ers,24,58,27,55,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,0.323,0.142,0.521,0.475,15.3,32.3,0.238,CoreStates Spectrum,507806.0,12695.15,1995
388,Washington Bullets,21,61,26,56,-5.6,0.04,-5.56,105.4,111.3,-5.9,94.5,0.292,0.183,0.529,0.492,14.3,29.3,0.211,US Airways Arena,689463.0,17236.575,1995
389,Detroit Pistons,28,54,22,60,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.293,0.21,0.538,0.499,15.0,28.3,0.217,The Palace of Auburn Hills,719090.0,21454.0,1995
390,Los Angeles Clippers,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.302,0.153,0.508,0.468,14.6,29.6,0.214,Los Angeles Memorial Sports Arena,438244.0,10956.1,1995
391,Minnesota Timberwolves,21,61,18,64,-9.0,0.78,-8.22,102.6,112.4,-9.8,91.4,0.379,0.163,0.532,0.475,16.2,27.7,0.293,Target Center,603518.0,15087.95,1995
392,Chicago Bulls,72,10,70,12,12.24,-0.44,11.8,115.2,101.8,13.4,91.1,0.291,0.196,0.555,0.517,13.1,36.9,0.217,United Center,969149.0,24228.725,1996
393,Seattle SuperSonics,64,18,61,21,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.379,0.249,0.574,0.526,16.2,29.7,0.288,KeyArena at Seattle Center,697301.0,16646.0,1996
394,Utah Jazz,55,27,59,23,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.359,0.158,0.566,0.517,14.1,31.6,0.276,Delta Center,813073.0,19911.0,1996
395,San Antonio Spurs,59,23,58,24,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.342,0.2,0.558,0.516,13.6,27.5,0.252,Alamodome,782701.0,18752.0,1996
396,Orlando Magic,60,22,56,26,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.336,0.248,0.562,0.529,13.2,29.0,0.232,Orlando Arena,707168.0,17248.0,1996
397,Los Angeles Lakers,53,29,53,29,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.306,0.203,0.555,0.515,13.3,30.1,0.228,Great Western Forum,649634.0,17505.0,1996
398,Indiana Pacers,52,30,50,32,3.24,-0.14,3.11,110.8,107.2,3.6,89.3,0.389,0.157,0.56,0.509,15.5,33.0,0.294,Market Square Arena,673967.0,16849.175,1996
399,Cleveland Cavaliers,47,35,49,33,2.59,-0.09,2.49,109.9,106.7,3.2,82.3,0.296,0.264,0.551,0.51,13.7,28.6,0.226,Gund Arena,730095.0,18252.375,1996
400,Detroit Pistons,46,36,49,33,2.5,-0.05,2.45,107.9,105.1,2.8,87.7,0.36,0.221,0.551,0.504,14.6,28.0,0.271,The Palace of Auburn Hills,730573.0,18264.325,1996
401,Portland Trail Blazers,44,38,48,34,2.35,-0.14,2.21,106.0,103.5,2.5,92.6,0.347,0.203,0.528,0.494,15.2,33.4,0.23,Rose Garden Arena,848055.0,21201.375,1996
402,New York Knicks,47,35,48,34,2.32,-0.08,2.24,106.0,103.5,2.5,91.0,0.306,0.201,0.55,0.509,14.9,25.5,0.232,Madison Square Garden (IV),810283.0,20257.075,1996
403,Houston Rockets,48,34,46,36,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.317,0.265,0.555,0.512,14.1,26.9,0.243,The Summit,667840.0,16611.0,1996
404,Miami Heat,42,40,45,37,1.43,0.03,1.46,105.3,103.8,1.5,91.1,0.345,0.23,0.541,0.501,16.0,30.1,0.245,Miami Arena,606088.0,15152.2,1996
405,Atlanta Hawks,46,36,45,37,1.22,0.07,1.29,109.4,108.0,1.4,89.6,0.302,0.239,0.534,0.49,14.0,34.0,0.229,Omni Coliseum,496668.0,8297.0,1996
406,Washington Bullets,39,43,44,38,1.06,-0.07,0.99,108.7,107.6,1.1,93.7,0.314,0.183,0.558,0.521,15.0,28.2,0.228,US Airways Arena,669598.0,16739.95,1996
407,Phoenix Suns,41,41,42,40,0.33,-0.05,0.28,110.3,110.0,0.3,93.2,0.37,0.147,0.551,0.498,13.5,29.8,0.286,America West Arena,779943.0,19498.575,1996
408,Charlotte Hornets,41,41,39,43,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,0.32,0.23,0.558,0.514,14.1,29.5,0.246,Charlotte Coliseum,985722.0,24042.0,1996
409,Golden State Warriors,36,46,37,45,-1.45,0.03,-1.42,108.4,109.9,-1.5,93.4,0.349,0.179,0.539,0.489,14.8,33.9,0.265,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1996
410,Denver Nuggets,35,47,33,49,-2.71,0.09,-2.62,105.2,108.1,-2.9,92.2,0.326,0.172,0.526,0.481,14.2,30.7,0.242,McNichols Sports Arena,675425.0,16885.625,1996
411,Sacramento Kings,39,43,33,49,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,0.371,0.184,0.54,0.493,16.0,32.5,0.271,ARCO Arena (II),709999.0,17749.975,1996
412,Boston Celtics,33,49,32,50,-3.4,0.03,-3.37,106.4,109.9,-3.5,96.2,0.329,0.209,0.534,0.494,14.1,28.8,0.235,FleetCenter,730842.0,17085.0,1996
413,Los Angeles Clippers,29,53,31,51,-3.6,0.13,-3.46,106.5,110.3,-3.8,93.2,0.3,0.208,0.544,0.511,15.3,29.3,0.21,Los Angeles Memorial Sports Arena,405495.0,10137.375,1996
414,New Jersey Nets,30,52,29,53,-4.23,0.09,-4.14,101.9,106.5,-4.6,90.9,0.332,0.111,0.497,0.445,15.1,36.4,0.248,Brendan Byrne Arena,638144.0,15953.6,1996
415,Dallas Mavericks,26,56,28,54,-4.9,0.19,-4.71,106.1,111.2,-5.1,95.4,0.266,0.274,0.507,0.47,13.3,34.1,0.192,Reunion Arena,684138.0,17103.45,1996
416,Minnesota Timberwolves,26,56,26,56,-5.35,0.22,-5.14,104.1,109.8,-5.7,93.5,0.357,0.132,0.535,0.48,16.0,29.8,0.277,Target Center,585669.0,14641.725,1996
417,Milwaukee Bucks,25,57,26,56,-5.3,0.38,-4.92,105.6,111.5,-5.9,90.2,0.295,0.163,0.534,0.495,15.0,29.7,0.218,Bradley Center,647088.0,16177.2,1996
418,Toronto Raptors,21,61,21,61,-7.51,0.31,-7.2,103.8,111.8,-8.0,93.2,0.296,0.177,0.536,0.499,17.2,32.0,0.214,SkyDome,950330.0,23758.25,1996
419,Philadelphia 76ers,18,64,16,66,-10.0,0.55,-9.45,102.2,113.0,-10.8,92.2,0.353,0.224,0.522,0.474,16.0,29.4,0.259,CoreStates Spectrum,476016.0,11900.4,1996
420,Vancouver Grizzlies,15,67,15,67,-9.98,0.43,-9.55,97.6,108.5,-10.9,91.0,0.308,0.174,0.5,0.456,15.5,27.3,0.223,General Motors Place,654013.0,19193.0,1996
421,Chicago Bulls,69,13,68,14,10.8,-0.11,10.7,114.4,102.4,12.0,90.0,0.267,0.203,0.547,0.511,12.5,35.9,0.199,United Center,978457.0,24461.425,1997
422,Utah Jazz,64,18,64,18,8.79,-0.82,7.97,113.6,104.0,9.6,90.0,0.389,0.145,0.581,0.53,14.7,29.7,0.299,Delta Center,811439.0,20285.975,1997
423,Seattle SuperSonics,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,8.5,90.3,0.358,0.247,0.557,0.51,14.2,30.9,0.269,KeyArena at Seattle Center,699952.0,17498.8,1997
424,Atlanta Hawks,56,26,57,25,5.44,0.08,5.52,108.5,102.3,6.2,86.8,0.31,0.291,0.542,0.498,14.6,31.5,0.236,Omni Coliseum,549414.0,13735.35,1997
425,Miami Heat,61,21,57,25,5.49,0.07,5.56,106.8,100.6,6.2,88.2,0.324,0.299,0.546,0.507,15.5,29.2,0.233,Miami Arena,615160.0,15379.0,1997
426,Detroit Pistons,54,28,57,25,5.24,0.2,5.45,110.6,104.4,6.2,84.5,0.327,0.246,0.554,0.512,13.0,27.5,0.244,The Palace of Auburn Hills,784234.0,19605.85,1997
427,Houston Rockets,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,4.8,91.6,0.307,0.284,0.56,0.52,15.6,28.4,0.232,The Summit,667685.0,16692.125,1997
428,Los Angeles Lakers,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,4.6,91.1,0.351,0.226,0.535,0.496,13.7,31.6,0.243,Great Western Forum,697159.0,17428.975,1997
429,Portland Trail Blazers,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,4.6,90.9,0.35,0.217,0.544,0.503,15.4,32.5,0.249,Rose Garden Arena,852798.0,21319.95,1997
430,New York Knicks,57,25,50,32,3.12,0.18,3.31,104.4,101.0,3.4,90.5,0.34,0.208,0.546,0.501,17.0,30.5,0.255,Madison Square Garden (IV),790520.0,19763.0,1997
431,Cleveland Cavaliers,42,40,47,35,1.84,0.47,2.32,104.6,102.4,2.2,82.9,0.297,0.215,0.531,0.493,15.0,29.4,0.215,Gund Arena,692684.0,17317.1,1997
432,Charlotte Hornets,54,28,46,36,1.87,0.26,2.13,110.9,108.9,2.0,88.6,0.313,0.218,0.562,0.518,14.3,28.7,0.243,Charlotte Coliseum,985722.0,24643.05,1997
433,Washington Bullets,44,38,46,36,1.62,0.15,1.77,106.6,104.9,1.7,92.4,0.296,0.15,0.54,0.505,14.6,30.2,0.21,US Airways Arena,700646.0,17516.15,1997
434,Indiana Pacers,39,43,44,38,0.98,0.52,1.49,105.8,104.7,1.1,89.0,0.374,0.181,0.537,0.49,15.5,31.3,0.27,Market Square Arena,636735.0,15918.375,1997
435,Phoenix Suns,40,42,43,39,0.66,-0.45,0.21,109.3,108.6,0.7,93.2,0.317,0.213,0.552,0.508,13.4,27.1,0.241,America West Arena,779940.0,19498.5,1997
436,Orlando Magic,45,37,40,42,-0.35,0.28,-0.07,105.6,106.0,-0.4,88.3,0.304,0.256,0.524,0.481,14.5,30.9,0.227,Orlando Arena,711311.0,17782.775,1997
437,Minnesota Timberwolves,40,42,37,45,-1.48,-0.35,-1.82,105.5,107.1,-1.6,90.7,0.339,0.17,0.533,0.485,14.4,28.8,0.254,Target Center,697727.0,17443.175,1997
438,Milwaukee Bucks,33,49,35,47,-1.89,0.51,-1.38,106.2,108.3,-2.1,89.5,0.334,0.146,0.541,0.496,15.1,29.7,0.248,Bradley Center,634999.0,15874.975,1997
439,Los Angeles Clippers,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,-2.5,91.3,0.31,0.2,0.524,0.482,14.7,30.8,0.227,Los Angeles Memorial Sports Arena,232895.0,5822.375,1997
440,Toronto Raptors,30,52,32,50,-3.12,0.57,-2.56,104.6,108.0,-3.4,90.6,0.303,0.245,0.521,0.481,15.2,32.5,0.218,SkyDome,744550.0,18613.75,1997
441,Sacramento Kings,34,48,31,51,-3.38,-0.26,-3.64,105.0,108.7,-3.7,91.0,0.313,0.16,0.526,0.485,15.0,32.0,0.226,ARCO Arena (II),709993.0,17749.825,1997
442,New Jersey Nets,26,56,28,54,-4.56,0.67,-3.89,104.7,109.7,-5.0,92.4,0.286,0.193,0.499,0.456,13.9,36.4,0.212,Continental Airlines Arena,670628.0,16765.7,1997
443,Golden State Warriors,30,52,28,54,-4.71,-0.2,-4.9,107.2,112.2,-5.0,91.9,0.332,0.208,0.543,0.493,15.8,32.3,0.258,San Jose Arena,621844.0,15546.1,1997
444,Denver Nuggets,21,61,24,58,-6.28,-0.12,-6.4,104.5,111.2,-6.7,92.4,0.298,0.256,0.53,0.486,15.2,28.8,0.227,McNichols Sports Arena,340486.0,8512.15,1997
445,Philadelphia 76ers,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,-6.8,95.3,0.358,0.198,0.518,0.47,15.3,34.1,0.259,CoreStates Center,610974.0,15274.35,1997
446,Dallas Mavericks,24,58,23,59,-6.35,-0.12,-6.47,101.1,108.2,-7.1,89.0,0.297,0.204,0.509,0.469,15.4,30.0,0.213,Reunion Arena,619178.0,15479.45,1997
447,Boston Celtics,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,0.316,0.191,0.52,0.474,14.5,29.4,0.237,FleetCenter,664022.0,18624.0,1997
448,San Antonio Spurs,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,-9.0,87.3,0.302,0.185,0.512,0.472,14.7,32.4,0.217,Alamodome,706641.0,17666.025,1997
449,Vancouver Grizzlies,14,68,15,67,-10.23,0.06,-10.17,100.3,111.8,-11.5,88.4,0.269,0.197,0.507,0.471,15.3,29.7,0.191,General Motors Place,683442.0,17086.05,1997
450,Los Angeles Lakers,61,21,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.216,0.559,0.519,14.0,31.6,0.285,Great Western Forum,676101.0,16902.525,1998
451,Seattle SuperSonics,61,21,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.327,0.243,0.558,0.521,13.4,28.7,0.236,KeyArena at Seattle Center,699952.0,17498.8,1998
452,Chicago Bulls,62,20,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.219,United Center,983444.0,24586.1,1998
453,Utah Jazz,62,20,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.334,Delta Center,815889.0,20397.225,1998
454,Indiana Pacers,58,24,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.343,0.165,0.55,0.502,14.0,27.9,0.262,Market Square Arena,645302.0,16132.55,1998
455,Phoenix Suns,56,26,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,America West Arena,779943.0,19498.575,1998
456,Miami Heat,55,27,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.329,0.244,0.538,0.494,14.5,31.5,0.243,Miami Arena,614861.0,15371.525,1998
457,San Antonio Spurs,56,26,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,Alamodome,783455.0,19586.375,1998
458,Atlanta Hawks,50,32,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,Georgia Dome,610615.0,15265.375,1998
459,Cleveland Cavaliers,47,35,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,Gund Arena,694629.0,17365.725,1998
460,New York Knicks,43,39,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,Madison Square Garden (IV),810283.0,20257.075,1998
461,Charlotte Hornets,51,31,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.345,0.142,0.542,0.495,14.6,30.4,0.259,Charlotte Coliseum,959634.0,23990.85,1998
462,Detroit Pistons,37,45,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.359,0.147,0.523,0.472,14.0,30.9,0.267,The Palace of Auburn Hills,794567.0,19864.175,1998
463,New Jersey Nets,43,39,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.339,0.135,0.513,0.463,12.9,36.7,0.253,Continental Airlines Arena,718514.0,17962.85,1998
464,Portland Trail Blazers,46,36,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.348,0.164,0.524,0.476,15.8,33.0,0.256,Rose Garden Arena,846559.0,21163.975,1998
465,Washington Wizards,42,40,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.317,0.139,0.513,0.476,13.0,31.2,0.219,MCI Center,801240.0,20031.0,1998
466,Minnesota Timberwolves,45,37,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.329,0.128,0.529,0.483,12.7,30.6,0.244,Target Center,738590.0,18464.75,1998
467,Houston Rockets,41,41,39,43,-0.76,-0.47,-1.23,107.7,108.6,-0.9,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,The Summit,670117.0,16752.925,1998
468,Orlando Magic,41,41,38,44,-1.07,0.54,-0.53,102.6,103.8,-1.2,87.1,0.331,0.141,0.499,0.452,14.5,34.2,0.24,Orlando Arena,667322.0,16683.05,1998
469,Milwaukee Bucks,36,46,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,Bradley Center,638034.0,15950.85,1998
470,Philadelphia 76ers,31,51,34,48,-2.39,0.5,-1.89,102.8,105.4,-2.6,90.4,0.367,0.126,0.514,0.462,15.4,32.5,0.271,CoreStates Center,655417.0,16385.425,1998
471,Boston Celtics,36,46,33,49,-2.62,0.66,-1.96,102.6,105.4,-2.8,93.3,0.283,0.18,0.504,0.464,14.6,32.8,0.206,FleetCenter,739422.0,18485.55,1998
