,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend.,Attend./G,Year,3PAr_Norm,ORtg_Norm,DRtg_Norm,Pace_Norm,FTr_Norm,TS%_Norm,eFG%_Norm,TOV%_Norm,ORB%_Norm,FT/FGA_Norm,OeFG%_Norm,OTOV%_Norm,DRB%_Norm,OFT/FGA_Norm
27,Chicago Bulls,26.5,45,37,46,36,1.98,0.37,2.34,107.8,105.8,2.0,100.6,0.371,0.026,0.556,0.504,17.2,36.9,0.288,0.493,15.5,68.4,0.232,Chicago Stadium,391118.0,9777.95,1981,1.1347248576850095,1.0218009478672985,1.0024717805058911,0.9879590093936806,1.1342549514821214,1.0402668185146018,1.0314084882996708,1.0994997220678153,1.1026373911913734,1.1725969198088155,1.0083592707870164,0.9911036975257159,1.0279665446941977,0.9440905874026893
28,New York Knicks,25.1,50,32,45,37,1.62,0.38,2.0,106.0,104.4,1.6,101.0,0.329,0.033,0.533,0.487,15.0,31.6,0.246,0.504,17.2,65.8,0.22,Madison Square Garden (IV),544641.0,13616.025,1981,1.44022770398482,1.004739336492891,0.9892065584576091,0.9918872758326217,1.005848730559617,0.9972341983242495,0.9966189162736898,0.9588660366870483,0.9442639989606342,1.0015932023366967,1.0308581591818584,1.0998053933833751,0.9888917929952954,0.8952583156404812
29,Indiana Pacers,26.0,44,38,45,37,1.4,0.32,1.72,106.4,105.0,1.4,100.9,0.351,0.023,0.528,0.484,15.1,35.5,0.251,0.492,17.0,64.5,0.248,Market Square Arena,415339.0,10383.475,1981,1.0037950664136623,1.0085308056872038,0.9948916536211585,0.9909052092228865,1.0731091319952146,0.9878792808915642,0.9904795800338108,0.9652584769316286,1.0608029102247631,1.0219507877500442,1.006313917296576,1.0870169585765916,0.9693544171458442,1.0092002830856333
30,Portland Trail Blazers,25.7,45,37,43,39,0.89,-0.37,0.52,106.5,105.7,0.8,103.0,0.291,0.02,0.534,0.498,15.2,33.9,0.209,0.49,15.8,65.7,0.246,Memorial Coliseum,519306.0,12982.65,1981,0.872865275142315,1.009478672985782,1.0015242646452995,1.0115286080273271,0.8896716735344942,0.9991051818107866,1.0191298158199127,0.9716509171762089,1.012992074834351,0.8509470702779253,1.0022232103156958,1.0102863497358912,0.987388917929953,1.0010615711252653
31,Houston Rockets,26.8,40,42,42,40,0.33,-0.53,-0.2,107.0,106.7,0.3,100.5,0.303,0.016,0.534,0.489,14.9,33.9,0.233,0.496,14.7,66.6,0.214,The Summit,385354.0,9633.85,1981,0.6982922201138521,1.014218009478673,1.0109994232512154,0.9869769427839454,0.9263591652266383,0.9991051818107866,1.0007118071002759,0.952473596442468,1.012992074834351,0.9486634802619933,1.014495331258337,0.9399499582985822,1.0009147935180345,0.8708421797593772
32,Washington Bullets,28.6,39,43,41,41,0.01,0.41,0.42,102.7,102.7,0.0,102.4,0.276,0.032,0.514,0.476,14.4,30.5,0.199,0.472,14.3,67.8,0.212,Capital Centre,377238.0,9430.95,1981,1.3965844402277041,0.9734597156398105,0.9730987888275522,1.0056362083689157,0.8438123089193141,0.9616855120800455,0.9741080167274668,0.9205113952195664,0.911394049629726,0.8102318994512303,0.9654068474877722,0.9143730886850154,1.0189492943021432,0.8627034677990091
33,Kansas City Kings,26.2,40,42,41,41,0.01,-0.51,-0.49,104.7,104.7,0.0,101.3,0.308,0.023,0.54,0.503,15.1,29.2,0.22,0.483,15.6,68.3,0.265,Kemper Arena,336385.0,8409.625,1981,1.0037950664136623,0.9924170616113744,0.9920491060393838,0.9948334756618276,0.9416456200983649,1.010331082730009,1.0293620428863777,0.9652584769316286,0.8725477458750164,0.8957337581872898,0.9879057358826143,0.9974979149291077,1.0264636696288552,1.0783793347487616
34,Denver Nuggets,26.8,37,45,40,42,-0.48,-0.47,-0.95,109.4,109.8,-0.4,109.8,0.383,0.018,0.537,0.477,13.4,33.1,0.3,0.509,14.6,65.4,0.232,McNichols Sports Arena,423287.0,15252.0,1981,0.7855787476280834,1.0369668246445498,1.0403724149295543,1.0783091374893254,1.1709424431742657,1.0047181322703977,0.9761544621407597,0.8565869927737632,0.9890866571391453,1.2214551248008496,1.0410849266340594,0.9335557408951904,0.9828802927339259,0.9440905874026893
35,Golden State Warriors,24.4,39,43,38,44,-1.18,-0.23,-1.41,108.5,109.7,-1.2,101.0,0.345,0.029,0.537,0.493,15.6,38.8,0.251,0.507,14.4,67.5,0.25,Oakland-Alameda County Coliseum Arena,412969.0,10324.225,1981,1.2656546489563567,1.028436018957346,1.0394248990689627,0.9918872758326217,1.0547653861491426,1.0047181322703977,1.0088975887534477,0.9972206781545302,1.1594127582174873,1.0219507877500442,1.0369942196531792,0.9207673060884071,1.014440669106116,1.0173389950460014
36,San Diego Clippers,27.6,36,46,37,45,-1.59,-0.2,-1.78,106.0,107.6,-1.6,100.2,0.308,0.056,0.528,0.486,14.5,33.0,0.227,0.507,16.2,66.3,0.262,San Diego Sports Arena,257597.0,6439.925,1981,2.4440227703984823,1.004739336492891,1.0195270659965394,0.9840307429547396,0.9416456200983649,0.9878792808915642,0.9945724708603968,0.9269038354641467,0.9860984799272445,0.9242343777659763,1.0369942196531792,1.035863219349458,0.9964061683220073,1.0661712668082095
